,user_id,article_id,views,time_on_page,type,text,url,tokens,dominant_topic,topic_label
28,user_2,40,5,117.86,p,"After the ups and downs of 2024, experts still feel the future is bright for residential solar.",https://www.cnet.com/,"['up', 'down', 'expert', 'feel', 'future', 'bright', 'residential', 'solar']",7,Memorial Day Sales _ Home Comfort
29,user_5,40,3,17.98,p,"After the ups and downs of 2024, experts still feel the future is bright for residential solar.",https://www.cnet.com/,"['up', 'down', 'expert', 'feel', 'future', 'bright', 'residential', 'solar']",7,Memorial Day Sales _ Home Comfort
30,user_7,40,5,93.05,p,"After the ups and downs of 2024, experts still feel the future is bright for residential solar.",https://www.cnet.com/,"['up', 'down', 'expert', 'feel', 'future', 'bright', 'residential', 'solar']",7,Memorial Day Sales _ Home Comfort
31,user_9,40,5,14.09,p,"After the ups and downs of 2024, experts still feel the future is bright for residential solar.",https://www.cnet.com/,"['up', 'down', 'expert', 'feel', 'future', 'bright', 'residential', 'solar']",7,Memorial Day Sales _ Home Comfort
32,user_2,32,1,115.36,h2,Money,https://www.cnet.com/,['money'],4,Home Tech Essentials & Appliances
33,user_3,32,1,10.69,h2,Money,https://www.cnet.com/,['money'],4,Home Tech Essentials & Appliances
34,user_9,32,2,64.29,h2,Money,https://www.cnet.com/,['money'],4,Home Tech Essentials & Appliances
35,user_2,29,4,17.04,h2,Sleep Through the Night,https://www.cnet.com/,"['sleep', 'night']",0,Politics & Tech Market Impact
36,user_4,29,1,56.7,h2,Sleep Through the Night,https://www.cnet.com/,"['sleep', 'night']",0,Politics & Tech Market Impact
37,user_9,29,5,21.89,h2,Sleep Through the Night,https://www.cnet.com/,"['sleep', 'night']",0,Politics & Tech Market Impact
38,user_2,20,3,115.36,h2,Google I/O,https://www.cnet.com/,"['google', 'o']",7,Memorial Day Sales _ Home Comfort
39,user_7,20,4,52.09,h2,Google I/O,https://www.cnet.com/,"['google', 'o']",7,Memorial Day Sales _ Home Comfort
40,user_9,20,2,46.45,h2,Google I/O,https://www.cnet.com/,"['google', 'o']",7,Memorial Day Sales _ Home Comfort
41,user_2,22,5,19.23,h2,Tech,https://www.cnet.com/,['tech'],2,Digital Divide & Infrastructure
42,user_6,22,3,64.01,h2,Tech,https://www.cnet.com/,['tech'],2,Digital Divide & Infrastructure
43,user_7,22,5,11.17,h2,Tech,https://www.cnet.com/,['tech'],2,Digital Divide & Infrastructure
44,user_8,22,4,33.84,h2,Tech,https://www.cnet.com/,['tech'],2,Digital Divide & Infrastructure
45,user_2,46,4,94.08,p,"The rise of generative AI is this generation's iPhone moment. In response, we're unveiling AI Atlas, a brand-new compendium of advice, reviews, news and views on artificial intelligence.",https://www.cnet.com/,"['rise', 'generative', 'ai', 'generation', 'iphone', 'moment', 'response', 'unveil', 'ai', 'atlas', 'brand', 'new', 'compendium', 'advice', 'review', 'news', 'view', 'artificial', 'intelligence']",11,Generative AI & Tech Advice
46,user_4,46,1,86.63,p,"The rise of generative AI is this generation's iPhone moment. In response, we're unveiling AI Atlas, a brand-new compendium of advice, reviews, news and views on artificial intelligence.",https://www.cnet.com/,"['rise', 'generative', 'ai', 'generation', 'iphone', 'moment', 'response', 'unveil', 'ai', 'atlas', 'brand', 'new', 'compendium', 'advice', 'review', 'news', 'view', 'artificial', 'intelligence']",11,Generative AI & Tech Advice
47,user_6,46,1,21.81,p,"The rise of generative AI is this generation's iPhone moment. In response, we're unveiling AI Atlas, a brand-new compendium of advice, reviews, news and views on artificial intelligence.",https://www.cnet.com/,"['rise', 'generative', 'ai', 'generation', 'iphone', 'moment', 'response', 'unveil', 'ai', 'atlas', 'brand', 'new', 'compendium', 'advice', 'review', 'news', 'view', 'artificial', 'intelligence']",11,Generative AI & Tech Advice
48,user_2,5,1,110.65,h3,80+ Best Memorial Day Deals: Shop Top Sales Vetted by CNET Experts Before Deals Disappear,https://www.cnet.com/,"['good', 'memorial', 'day', 'deal', 'shop', 'sale', 'vet', 'cnet', 'expert', 'deal', 'disappear']",1,Holiday Tech Deals (Memorial Day)
49,user_8,5,2,119.45,h3,80+ Best Memorial Day Deals: Shop Top Sales Vetted by CNET Experts Before Deals Disappear,https://www.cnet.com/,"['good', 'memorial', 'day', 'deal', 'shop', 'sale', 'vet', 'cnet', 'expert', 'deal', 'disappear']",1,Holiday Tech Deals (Memorial Day)
50,user_2,9,2,22.55,h3,"50+ Best Memorial Day Deals Under $25: Deep Discounts on Tech, Home Essentials and More",https://www.cnet.com/,"['good', 'memorial', 'day', 'deal', 'deep', 'discount', 'tech', 'home', 'essential']",1,Holiday Tech Deals (Memorial Day)
51,user_3,9,4,68.1,h3,"50+ Best Memorial Day Deals Under $25: Deep Discounts on Tech, Home Essentials and More",https://www.cnet.com/,"['good', 'memorial', 'day', 'deal', 'deep', 'discount', 'tech', 'home', 'essential']",1,Holiday Tech Deals (Memorial Day)
52,user_2,39,3,117.34,p,Millions of Americans lack access to high-speed internet. Here's how to fix that.,https://www.cnet.com/,"['million', 'americans', 'lack', 'access', 'high', 'speed', 'internet', 'fix']",6,Internet Access & Connectivity
53,user_5,39,1,21.28,p,Millions of Americans lack access to high-speed internet. Here's how to fix that.,https://www.cnet.com/,"['million', 'americans', 'lack', 'access', 'high', 'speed', 'internet', 'fix']",6,Internet Access & Connectivity
54,user_9,39,2,48.53,p,Millions of Americans lack access to high-speed internet. Here's how to fix that.,https://www.cnet.com/,"['million', 'americans', 'lack', 'access', 'high', 'speed', 'internet', 'fix']",6,Internet Access & Connectivity
55,user_2,47,1,84.0,p,File your return online with one of these tax services so that you can get your refund faster.,https://www.cnet.com/,"['file', 'return', 'online', 'tax', 'service', 'refund', 'fast']",11,Generative AI & Tech Advice
56,user_4,47,4,82.37,p,File your return online with one of these tax services so that you can get your refund faster.,https://www.cnet.com/,"['file', 'return', 'online', 'tax', 'service', 'refund', 'fast']",11,Generative AI & Tech Advice
57,user_5,47,5,21.36,p,File your return online with one of these tax services so that you can get your refund faster.,https://www.cnet.com/,"['file', 'return', 'online', 'tax', 'service', 'refund', 'fast']",11,Generative AI & Tech Advice
58,user_10,47,2,67.21,p,File your return online with one of these tax services so that you can get your refund faster.,https://www.cnet.com/,"['file', 'return', 'online', 'tax', 'service', 'refund', 'fast']",11,Generative AI & Tech Advice
59,user_2,1,2,50.97,h2,Today's Top Deals,https://www.cnet.com/,"['today', 'deal']",10,EVs & Driving in Extreme Conditions
60,user_6,1,2,33.45,h2,Today's Top Deals,https://www.cnet.com/,"['today', 'deal']",10,EVs & Driving in Extreme Conditions
61,user_8,1,1,113.64,h2,Today's Top Deals,https://www.cnet.com/,"['today', 'deal']",10,EVs & Driving in Extreme Conditions
62,user_10,1,4,47.23,h2,Today's Top Deals,https://www.cnet.com/,"['today', 'deal']",10,EVs & Driving in Extreme Conditions
63,user_2,31,4,48.36,h2,Daily Puzzle Answers,https://www.cnet.com/,"['daily', 'puzzle', 'answer']",9,Internet Services & Comparisons
64,user_4,31,2,87.2,h2,Daily Puzzle Answers,https://www.cnet.com/,"['daily', 'puzzle', 'answer']",9,Internet Services & Comparisons
65,user_9,31,2,50.86,h2,Daily Puzzle Answers,https://www.cnet.com/,"['daily', 'puzzle', 'answer']",9,Internet Services & Comparisons
66,user_3,33,5,116.21,p,"Snag hand-picked Memorial Day weekend deals on tech, appliances, home gear and everyday essentials.",https://www.cnet.com/,"['snag', 'hand', 'pick', 'memorial', 'day', 'weekend', 'deal', 'tech', 'appliance', 'home', 'gear', 'everyday', 'essential']",4,Home Tech Essentials & Appliances
67,user_10,33,4,25.81,p,"Snag hand-picked Memorial Day weekend deals on tech, appliances, home gear and everyday essentials.",https://www.cnet.com/,"['snag', 'hand', 'pick', 'memorial', 'day', 'weekend', 'deal', 'tech', 'appliance', 'home', 'gear', 'everyday', 'essential']",4,Home Tech Essentials & Appliances
68,user_3,7,5,39.42,h3,Best iPhone in 2025: Here's Which Apple Phone You Should Buy,https://www.cnet.com/,"['good', 'iphone', 'apple', 'phone', 'buy']",1,Holiday Tech Deals (Memorial Day)
69,user_3,2,3,82.94,h2,Memorial Day,https://www.cnet.com/,"['memorial', 'day']",7,Memorial Day Sales _ Home Comfort
70,user_5,2,3,99.01,h2,Memorial Day,https://www.cnet.com/,"['memorial', 'day']",7,Memorial Day Sales _ Home Comfort
71,user_4,26,1,117.6,h2,Energy and Utilities,https://www.cnet.com/,"['energy', 'utility']",2,Digital Divide & Infrastructure
72,user_6,26,1,49.68,h2,Energy and Utilities,https://www.cnet.com/,"['energy', 'utility']",2,Digital Divide & Infrastructure
73,user_8,26,2,73.34,h2,Energy and Utilities,https://www.cnet.com/,"['energy', 'utility']",2,Digital Divide & Infrastructure
74,user_9,26,3,24.57,h2,Energy and Utilities,https://www.cnet.com/,"['energy', 'utility']",2,Digital Divide & Infrastructure
75,user_10,26,2,10.17,h2,Energy and Utilities,https://www.cnet.com/,"['energy', 'utility']",2,Digital Divide & Infrastructure
76,user_4,25,1,53.66,h2,Crossing the Broadband Divide,https://www.cnet.com/,"['cross', 'broadband', 'divide']",2,Digital Divide & Infrastructure
77,user_5,25,3,102.07,h2,Crossing the Broadband Divide,https://www.cnet.com/,"['cross', 'broadband', 'divide']",2,Digital Divide & Infrastructure
78,user_10,25,1,34.73,h2,Crossing the Broadband Divide,https://www.cnet.com/,"['cross', 'broadband', 'divide']",2,Digital Divide & Infrastructure
79,user_4,3,4,110.56,h2,More to Explore,https://www.cnet.com/,['explore'],10,EVs & Driving in Extreme Conditions
80,user_5,3,3,13.31,h2,More to Explore,https://www.cnet.com/,['explore'],10,EVs & Driving in Extreme Conditions
81,user_4,21,3,71.15,h2,Our Expertise,https://www.cnet.com/,['expertise'],3,Sleep Tech & Personal Gadgets
82,user_5,21,1,36.85,h2,Our Expertise,https://www.cnet.com/,['expertise'],3,Sleep Tech & Personal Gadgets
83,user_7,21,1,114.06,h2,Our Expertise,https://www.cnet.com/,['expertise'],3,Sleep Tech & Personal Gadgets
84,user_4,43,2,51.25,p,I’ve had T-Mobile’s 5G home internet service for two years. It’s superior to DSL but has some quirks I've discovered along the way.,https://www.cnet.com/,"['t', 'mobile', 'g', 'home', 'internet', 'service', 'year', 'superior', 'dsl', 'quirk', 'discover', 'way']",9,Internet Services & Comparisons
85,user_5,6,4,44.41,h3,Memorial Day Deal: Beat the Heat With This Yoshenmo Handheld Fan for Just $11,https://www.cnet.com/,"['memorial', 'day', 'deal', 'beat', 'heat', 'yoshenmo', 'handheld', 'fan']",3,Sleep Tech & Personal Gadgets
86,user_6,6,3,97.66,h3,Memorial Day Deal: Beat the Heat With This Yoshenmo Handheld Fan for Just $11,https://www.cnet.com/,"['memorial', 'day', 'deal', 'beat', 'heat', 'yoshenmo', 'handheld', 'fan']",3,Sleep Tech & Personal Gadgets
87,user_8,6,4,92.61,h3,Memorial Day Deal: Beat the Heat With This Yoshenmo Handheld Fan for Just $11,https://www.cnet.com/,"['memorial', 'day', 'deal', 'beat', 'heat', 'yoshenmo', 'handheld', 'fan']",3,Sleep Tech & Personal Gadgets
88,user_10,6,2,29.83,h3,Memorial Day Deal: Beat the Heat With This Yoshenmo Handheld Fan for Just $11,https://www.cnet.com/,"['memorial', 'day', 'deal', 'beat', 'heat', 'yoshenmo', 'handheld', 'fan']",3,Sleep Tech & Personal Gadgets
89,user_5,4,2,56.18,h2,Latest,https://www.cnet.com/,['late'],6,Internet Access & Connectivity
90,user_5,28,5,62.02,h2,Internet,https://www.cnet.com/,['internet'],6,Internet Access & Connectivity
91,user_5,8,2,94.59,h3,"Best Amazon Memorial Day Deals: Shop 70+ Bargains From Apple, Sony, Samsung and More",https://www.cnet.com/,"['good', 'amazon', 'memorial', 'day', 'deal', 'shop', 'bargain', 'apple', 'sony', 'samsung']",1,Holiday Tech Deals (Memorial Day)
92,user_5,45,1,82.55,p,Get the most out of your phone with this expert advice.,https://www.cnet.com/,"['phone', 'expert', 'advice']",11,Generative AI & Tech Advice
93,user_7,45,1,83.05,p,Get the most out of your phone with this expert advice.,https://www.cnet.com/,"['phone', 'expert', 'advice']",11,Generative AI & Tech Advice
94,user_8,45,4,86.95,p,Get the most out of your phone with this expert advice.,https://www.cnet.com/,"['phone', 'expert', 'advice']",11,Generative AI & Tech Advice
95,user_10,45,5,105.14,p,Get the most out of your phone with this expert advice.,https://www.cnet.com/,"['phone', 'expert', 'advice']",11,Generative AI & Tech Advice
96,user_6,35,1,33.67,p,Other companies better watch out because the LG G5 Series OLED just set a new standard for premium TVs.,https://www.cnet.com/,"['company', 'well', 'watch', 'lg', 'series', 'ole', 'set', 'new', 'standard', 'premium', 'tv']",8,Tech Launches & Exhibitions
97,user_8,35,4,55.18,p,Other companies better watch out because the LG G5 Series OLED just set a new standard for premium TVs.,https://www.cnet.com/,"['company', 'well', 'watch', 'lg', 'series', 'ole', 'set', 'new', 'standard', 'premium', 'tv']",8,Tech Launches & Exhibitions
98,user_6,38,2,56.94,p,It just might be the best espresso machine ever for small kitchens.,https://www.cnet.com/,"['good', 'espresso', 'machine', 'small', 'kitchen']",3,Sleep Tech & Personal Gadgets
99,user_7,44,5,77.92,p,Get the best sleep of your life with our expert tips.,https://www.cnet.com/,"['good', 'sleep', 'life', 'expert', 'tip']",3,Sleep Tech & Personal Gadgets
100,user_10,44,2,82.97,p,Get the best sleep of your life with our expert tips.,https://www.cnet.com/,"['good', 'sleep', 'life', 'expert', 'tip']",3,Sleep Tech & Personal Gadgets
101,user_7,36,3,22.15,p,President Donald Trump's new tariffs have prompted price hikes in the tech space and cast uncertainty in the US market. Here's what we know.,https://www.cnet.com/,"['president', 'donald', 'trump', 'new', 'tariff', 'prompt', 'price', 'hike', 'tech', 'space', 'cast', 'uncertainty', 'market', 'know']",0,Politics & Tech Market Impact
102,user_9,36,1,93.01,p,President Donald Trump's new tariffs have prompted price hikes in the tech space and cast uncertainty in the US market. Here's what we know.,https://www.cnet.com/,"['president', 'donald', 'trump', 'new', 'tariff', 'prompt', 'price', 'hike', 'tech', 'space', 'cast', 'uncertainty', 'market', 'know']",0,Politics & Tech Market Impact
103,user_7,30,3,24.54,h2,Tech Tips,https://www.cnet.com/,"['tech', 'tip']",2,Digital Divide & Infrastructure
104,user_7,41,2,52.9,p,"Misconceptions remain around EV driving. In northern Sweden, I saw just how good they really are in frigid temperatures and even driving across a frozen lake.",https://www.cnet.com/,"['misconception', 'remain', 'ev', 'driving', 'northern', 'sweden', 'see', 'good', 'frigid', 'temperature', 'drive', 'frozen', 'lake']",10,EVs & Driving in Extreme Conditions
105,user_8,41,4,33.02,p,"Misconceptions remain around EV driving. In northern Sweden, I saw just how good they really are in frigid temperatures and even driving across a frozen lake.",https://www.cnet.com/,"['misconception', 'remain', 'ev', 'driving', 'northern', 'sweden', 'see', 'good', 'frigid', 'temperature', 'drive', 'frozen', 'lake']",10,EVs & Driving in Extreme Conditions
106,user_10,27,5,15.39,h2,Deep Dives,https://www.cnet.com/,"['deep', 'dive']",1,Holiday Tech Deals (Memorial Day)
